model | Swap | player | real | adversaire | user | m_true | 5 | f_true | 15 | m_false | 14 | f_false | 6 | male_precision | 0.68 | male_recall | 0.79 | male_f1 | 0.73 | female_precision | 0.81 | female_recall | 0.78 | female_f1 | 0.79 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 8 | f_true | 12 | m_false | 19 | f_false | 1 | male_precision | 0.77 | male_recall | 0.75 | male_f1 | 0.76 | female_precision | 0.79 | female_recall | 0.79 | female_f1 | 0.79 | accuracy | 0.79 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 5 | f_true | 15 | m_false | 20 | f_false | 0 | male_precision | 0.76 | male_recall | 0.76 | male_f1 | 0.76 | female_precision | 0.76 | female_recall | 0.79 | female_f1 | 0.77 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 3 | f_true | 17 | m_false | 21 | f_false | 0 | male_precision | 0.74 | male_recall | 0.74 | male_f1 | 0.74 | female_precision | 0.75 | female_recall | 0.79 | female_f1 | 0.77 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 10 | f_true | 10 | m_false | 22 | f_false | 0 | male_precision | 0.79 | male_recall | 0.74 | male_f1 | 0.76 | female_precision | 0.74 | female_recall | 0.79 | female_f1 | 0.76 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 2 | f_true | 18 | m_false | 22 | f_false | 0 | male_precision | 0.72 | male_recall | 0.76 | male_f1 | 0.74 | female_precision | 0.74 | female_recall | 0.79 | female_f1 | 0.76 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 12 | f_true | 8 | m_false | 23 | f_false | 0 | male_precision | 0.78 | male_recall | 0.73 | male_f1 | 0.76 | female_precision | 0.73 | female_recall | 0.79 | female_f1 | 0.76 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 7 | f_true | 13 | m_false | 24 | f_false | 0 | male_precision | 0.76 | male_recall | 0.76 | male_f1 | 0.76 | female_precision | 0.72 | female_recall | 0.79 | female_f1 | 0.75 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 4 | f_true | 16 | m_false | 25 | f_false | 0 | male_precision | 0.73 | male_recall | 0.75 | male_f1 | 0.74 | female_precision | 0.71 | female_recall | 0.79 | female_f1 | 0.75 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 14 | f_true | 6 | m_false | 26 | f_false | 0 | male_precision | 0.77 | male_recall | 0.73 | male_f1 | 0.75 | female_precision | 0.7 | female_recall | 0.79 | female_f1 | 0.74 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 6 | f_true | 14 | m_false | 18 | f_false | 2 | male_precision | 0.75 | male_recall | 0.77 | male_f1 | 0.76 | female_precision | 0.77 | female_recall | 0.79 | female_f1 | 0.78 | accuracy | 0.79 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 8 | f_true | 12 | m_false | 19 | f_false | 1 | male_precision | 0.77 | male_recall | 0.75 | male_f1 | 0.76 | female_precision | 0.79 | female_recall | 0.79 | female_f1 | 0.79 | accuracy | 0.79 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 5 | f_true | 15 | m_false | 20 | f_false | 0 | male_precision | 0.76 | male_recall | 0.76 | male_f1 | 0.76 | female_precision | 0.76 | female_recall | 0.79 | female_f1 | 0.77 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 3 | f_true | 17 | m_false | 21 | f_false | 0 | male_precision | 0.74 | male_recall | 0.74 | male_f1 | 0.74 | female_precision | 0.75 | female_recall | 0.79 | female_f1 | 0.77 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 10 | f_true | 10 | m_false | 22 | f_false | 0 | male_precision | 0.79 | male_recall | 0.74 | male_f1 | 0.76 | female_precision | 0.74 | female_recall | 0.79 | female_f1 | 0.76 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 2 | f_true | 18 | m_false | 22 | f_false | 0 | male_precision | 0.72 | male_recall | 0.76 | male_f1 | 0.74 | female_precision | 0.74 | female_recall | 0.79 | female_f1 | 0.76 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 12 | f_true | 8 | m_false | 23 | f_false | 0 | male_precision | 0.78 | male_recall | 0.73 | male_f1 | 0.76 | female_precision | 0.73 | female_recall | 0.79 | female_f1 | 0.76 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 7 | f_true | 13 | m_false | 24 | f_false | 0 | male_precision | 0.76 | male_recall | 0.76 | male_f1 | 0.76 | female_precision | 0.72 | female_recall | 0.79 | female_f1 | 0.75 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 4 | f_true | 16 | m_false | 25 | f_false | 0 | male_precision | 0.73 | male_recall | 0.75 | male_f1 | 0.74 | female_precision | 0.71 | female_recall | 0.79 | female_f1 | 0.75 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | user | m_true | 14 | f_true | 6 | m_false | 26 | f_false | 0 | male_precision | 0.77 | male_recall | 0.73 | male_f1 | 0.75 | female_precision | 0.7 | female_recall | 0.79 | female_f1 | 0.74 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 3 | f_true | 12 | m_false | 25 | f_false | 5 | male_precision | 0.72 | male_recall | 0.74 | male_f1 | 0.73 | female_precision | 0.66 | female_recall | 0.79 | female_f1 | 0.72 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 5 | f_true | 10 | m_false | 28 | f_false | 7 | male_precision | 0.74 | male_recall | 0.72 | male_f1 | 0.73 | female_precision | 0.64 | female_recall | 0.79 | female_f1 | 0.69 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 2 | f_true | 13 | m_false | 31 | f_false | 9 | male_precision | 0.71 | male_recall | 0.75 | male_f1 | 0.73 | female_precision | 0.62 | female_recall | 0.79 | female_f1 | 0.68 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 4 | f_true | 11 | m_false | 34 | f_false | 11 | male_precision | 0.73 | male_recall | 0.73 | male_f1 | 0.73 | female_precision | 0.6 | female_recall | 0.79 | female_f1 | 0.67 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 8 | f_true | 7 | m_false | 37 | f_false | 13 | male_precision | 0.77 | male_recall | 0.69 | male_f1 | 0.73 | female_precision | 0.58 | female_recall | 0.79 | female_f1 | 0.66 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 1 | f_true | 14 | m_false | 40 | f_false | 15 | male_precision | 0.7 | male_recall | 0.75 | male_f1 | 0.73 | female_precision | 0.56 | female_recall | 0.79 | female_f1 | 0.65 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 6 | f_true | 9 | m_false | 43 | f_false | 17 | male_precision | 0.75 | male_recall | 0.66 | male_f1 | 0.7 | female_precision | 0.54 | female_recall | 0.79 | female_f1 | 0.64 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 10 | f_true | 5 | m_false | 46 | f_false | 19 | male_precision | 0.79 | male_recall | 0.62 | male_f1 | 0.7 | female_precision | 0.52 | female_recall | 0.79 | female_f1 | 0.63 | accuracy | 0.78 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 3 | f_true | 12 | m_false | 49 | f_false | 21 | male_precision | 0.72 | male_recall | 0.61 | male_f1 | 0.66 | female_precision | 0.5 | female_recall | 0.79 | female_f1 | 0.62 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 14 | f_true | 1 | m_false | 52 | f_false | 23 | male_precision | 0.78 | male_recall | 0.55 | male_f1 | 0.66 | female_precision | 0.48 | female_recall | 0.79 | female_f1 | 0.61 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 5 | f_true | 10 | m_false | 55 | f_false | 25 | male_precision | 0.75 | male_recall | 0.5 | male_f1 | 0.56 | female_precision | 0.46 | female_recall | 0.79 | female_f1 | 0.6 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 7 | f_true | 8 | m_false | 58 | f_false | 27 | male_precision | 0.76 | male_recall | 0.48 | male_f1 | 0.59 | female_precision | 0.44 | female_recall | 0.79 | female_f1 | 0.58 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 1 | f_true | 14 | m_false | 61 | f_false | 29 | male_precision | 0.7 | male_recall | 0.45 | male_f1 | 0.55 | female_precision | 0.42 | female_recall | 0.79 | female_f1 | 0.57 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 10 | f_true | 5 | m_false | 64 | f_false | 31 | male_precision | 0.79 | male_recall | 0.4 | male_f1 | 0.53 | female_precision | 0.4 | female_recall | 0.79 | female_f1 | 0.56 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 4 | f_true | 11 | m_false | 67 | f_false | 33 | male_precision | 0.73 | male_recall | 0.38 | male_f1 | 0.52 | female_precision | 0.38 | female_recall | 0.79 | female_f1 | 0.55 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 8 | f_true | 7 | m_false | 70 | f_false | 35 | male_precision | 0.77 | male_recall | 0.35 | male_f1 | 0.51 | female_precision | 0.36 | female_recall | 0.79 | female_f1 | 0.54 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 3 | f_true | 12 | m_false | 73 | f_false | 37 | male_precision | 0.72 | male_recall | 0.33 | male_f1 | 0.5 | female_precision | 0.34 | female_recall | 0.79 | female_f1 | 0.53 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 6 | f_true | 9 | m_false | 76 | f_false | 39 | male_precision | 0.75 | male_recall | 0.3 | male_f1 | 0.49 | female_precision | 0.32 | female_recall | 0.79 | female_f1 | 0.52 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 12 | f_true | 3 | m_false | 79 | f_false | 41 | male_precision | 0.78 | male_recall | 0.28 | male_f1 | 0.48 | female_precision | 0.3 | female_recall | 0.79 | female_f1 | 0.51 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 5 | f_true | 10 | m_false | 82 | f_false | 43 | male_precision | 0.76 | male_recall | 0.25 | male_f1 | 0.47 | female_precision | 0.28 | female_recall | 0.79 | female_f1 | 0.5 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 7 | f_true | 8 | m_false | 88 | f_false | 47 | male_precision | 0.76 | male_recall | 0.22 | male_f1 | 0.45 | female_precision | 0.24 | female_recall | 0.79 | female_f1 | 0.49 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 1 | f_true | 14 | m_false | 91 | f_false | 49 | male_precision | 0.7 | male_recall | 0.2 | male_f1 | 0.44 | female_precision | 0.22 | female_recall | 0.79 | female_f1 | 0.48 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 10 | f_true | 5 | m_false | 94 | f_false | 51 | male_precision | 0.79 | male_recall | 0.18 | male_f1 | 0.43 | female_precision | 0.2 | female_recall | 0.79 | female_f1 | 0.47 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 4 | f_true | 11 | m_false | 97 | f_false | 53 | male_precision | 0.73 | male_recall | 0.15 | male_f1 | 0.42 | female_precision | 0.18 | female_recall | 0.79 | female_f1 | 0.46 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 8 | f_true | 7 | m_false | 100 | f_false | 55 | male_precision | 0.77 | male_recall | 0.13 | male_f1 | 0.41 | female_precision | 0.16 | female_recall | 0.79 | female_f1 | 0.45 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 3 | f_true | 12 | m_false | 103 | f_false | 57 | male_precision | 0.72 | male_recall | 0.1 | male_f1 | 0.4 | female_precision | 0.14 | female_recall | 0.79 | female_f1 | 0.44 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 6 | f_true | 9 | m_false | 106 | f_false | 59 | male_precision | 0.75 | male_recall | 0.08 | male_f1 | 0.39 | female_precision | 0.12 | female_recall | 0.79 | female_f1 | 0.43 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 12 | f_true | 3 | m_false | 109 | f_false | 61 | male_precision | 0.78 | male_recall | 0.05 | male_f1 | 0.38 | female_precision | 0.1 | female_recall | 0.79 | female_f1 | 0.42 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 5 | f_true | 10 | m_false | 112 | f_false | 63 | male_precision | 0.76 | male_recall | 0.03 | male_f1 | 0.37 | female_precision | 0.08 | female_recall | 0.79 | female_f1 | 0.41 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | Swap | player | real | adversaire | machine | m_true | 14 | f_true | 1 | m_false | 115 | f_false | 65 | male_precision | 0.78 | male_recall | 0.02 | male_f1 | 0.36 | female_precision | 0.06 | female_recall | 0.79 | female_f1 | 0.4 | accuracy | 0.77 | gan_decay | Unknow | gan_learning | Unknow | gan_batch | Unknow | gan_size | Unknow | gan_epochs | Unknow
model | GAN | player | real | adversaire | user | m_true | 5 | f_true | 33 | m_false | 5 | f_false | 2 | male_precision | 0.72 | male_recall | 0.64 | male_f1 | 0.68 | female_precision | 0.88 | female_recall | 0.72 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 7 | f_true | 30 | m_false | 6 | f_false | 3 | male_precision | 0.74 | male_recall | 0.62 | male_f1 | 0.68 | female_precision | 0.87 | female_recall | 0.73 | female_f1 | 0.79 | accuracy | 0.76 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 4 | f_true | 30 | m_false | 8 | f_false | 6 | male_precision | 0.71 | male_recall | 0.66 | male_f1 | 0.68 | female_precision | 0.89 | female_recall | 0.71 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 3 | f_true | 30 | m_false | 9 | f_false | 7 | male_precision | 0.7 | male_recall | 0.68 | male_f1 | 0.69 | female_precision | 0.9 | female_recall | 0.7 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 6 | f_true | 32 | m_false | 10 | f_false | 2 | male_precision | 0.73 | male_recall | 0.65 | male_f1 | 0.69 | female_precision | 0.88 | female_recall | 0.72 | female_f1 | 0.79 | accuracy | 0.76 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 9 | f_true | 30 | m_false | 11 | f_false | 1 | male_precision | 0.76 | male_recall | 0.63 | male_f1 | 0.69 | female_precision | 0.87 | female_recall | 0.73 | female_f1 | 0.79 | accuracy | 0.76 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 2 | f_true | 35 | m_false | 12 | f_false | 3 | male_precision | 0.69 | male_recall | 0.67 | male_f1 | 0.68 | female_precision | 0.91 | female_recall | 0.69 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 8 | f_true | 22 | m_false | 13 | f_false | 10 | male_precision | 0.75 | male_recall | 0.64 | male_f1 | 0.69 | female_precision | 0.86 | female_recall | 0.74 | female_f1 | 0.8 | accuracy | 0.76 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 1 | f_true | 29 | m_false | 14 | f_false | 10 | male_precision | 0.68 | male_recall | 0.69 | male_f1 | 0.69 | female_precision | 0.92 | female_recall | 0.68 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 10 | f_true | 23 | m_false | 15 | f_false | 7 | male_precision | 0.77 | male_recall | 0.62 | male_f1 | 0.69 | female_precision | 0.85 | female_recall | 0.75 | female_f1 | 0.8 | accuracy | 0.76 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 5 | f_true | 35 | m_false | 16 | f_false | 0 | male_precision | 0.72 | male_recall | 0.65 | male_f1 | 0.69 | female_precision | 0.89 | female_recall | 0.71 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 3 | f_true | 37 | m_false | 18 | f_false | 2 | male_precision | 0.7 | male_recall | 0.67 | male_f1 | 0.69 | female_precision | 0.9 | female_recall | 0.7 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 6 | f_true | 34 | m_false | 19 | f_false | 1 | male_precision | 0.73 | male_recall | 0.66 | male_f1 | 0.68 | female_precision | 0.89 | female_recall | 0.71 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 9 | f_true | 25 | m_false | 20 | f_false | 6 | male_precision | 0.76 | male_recall | 0.63 | male_f1 | 0.68 | female_precision | 0.87 | female_recall | 0.73 | female_f1 | 0.79 | accuracy | 0.76 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
model | GAN | player | real | adversaire | user | m_true | 2 | f_true | 26 | m_false | 21 | f_false | 12 | male_precision | 0.69 | male_recall | 0.68 | male_f1 | 0.68 | female_precision | 0.91 | female_recall | 0.69 | female_f1 | 0.79 | accuracy | 0.75 | gan_decay | 48 | gan_learning | 0.002 | gan_batch | 1 | gan_size | 256 | gan_epochs | 161
